หมวดหมู่,ชื่อไฟล์,ขนาด (MB),ความสำคัญ,คำแนะนำ
🔧 ไฟล์ Fix และ Patch,ultimate_production_fix.py,0.021,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,ultimate_project_fix.py,0.014,🟡 สำคัญ,✅ ควร commit
🔧 ไฟล์ Fix และ Patch,validate_auc_fixes.py,0.003,🟡 สำคัญ,✅ ควร commit
📊 ไฟล์ข้อมูล (CSV/Parquet),XAUUSD_M1.csv,24.374,⚪ ต่ำ,📊 ข้อมูล - commit ได้
📊 ไฟล์ข้อมูล (CSV/Parquet),XAUUSD_M1.parquet,6.345,⚪ ต่ำ,📊 ข้อมูล - commit ได้
📊 ไฟล์ข้อมูล (CSV/Parquet),XAUUSD_M15.csv,8.544,⚪ ต่ำ,📊 ข้อมูล - commit ได้
📊 ไฟล์ข้อมูล (CSV/Parquet),XAUUSD_M15.parquet,3.938,⚪ ต่ำ,📊 ข้อมูล - commit ได้
📊 ไฟล์ข้อมูล (CSV/Parquet),XAUUSD_M15_clean.csv,8.432,⚪ ต่ำ,📊 ข้อมูล - commit ได้
📊 ไฟล์ข้อมูล (CSV/Parquet),XAUUSD_M1_clean.csv,24.374,⚪ ต่ำ,📊 ข้อมูล - commit ได้
📊 ไฟล์ข้อมูล (CSV/Parquet),dummy_m1.csv,0.0,⚪ ต่ำ,📊 ข้อมูล - commit ได้
📊 ไฟล์ข้อมูล (CSV/Parquet),dummy_m15.csv,0.0,⚪ ต่ำ,📊 ข้อมูล - commit ได้
📊 ไฟล์ข้อมูล (CSV/Parquet),enhanced_dummy_data.csv,0.004,⚪ ต่ำ,📊 ข้อมูล - commit ได้
📊 ไฟล์ข้อมูล (CSV/Parquet),sample_trading_data.csv,0.281,⚪ ต่ำ,📊 ข้อมูล - commit ได้
🛠️ Scripts และ Utilities,automl_utils.py,0.001,🟡 สำคัญ,✅ ควร commit
🛠️ Scripts และ Utilities,demo-workspace-options.sh,0.001,🟢 ปานกลาง,🤔 ตรวจสอบเพิ่มเติม
🛠️ Scripts และ Utilities,deploy.sh,0.014,🟢 ปานกลาง,🤔 ตรวจสอบเพิ่มเติม
🛠️ Scripts และ Utilities,distributed_utils.py,0.002,🟡 สำคัญ,✅ ควร commit
🛠️ Scripts และ Utilities,optimize-workspace.sh,0.002,🟢 ปานกลาง,🤔 ตรวจสอบเพิ่มเติม
🛠️ Scripts และ Utilities,run_all_modes.py,0.012,🟡 สำคัญ,✅ ควร commit
🛠️ Scripts และ Utilities,run_complete_production.py,0.009,🟡 สำคัญ,✅ ควร commit
🛠️ Scripts และ Utilities,run_complete_project.bat,0.001,🟢 ปานกลาง,🤔 ตรวจสอบเพิ่มเติม
🛠️ Scripts และ Utilities,run_direct_pipeline.py,0.006,🟡 สำคัญ,✅ ควร commit
🛠️ Scripts และ Utilities,"""run_fastapi_standalone (1).py""",0.0,🟡 สำคัญ,✅ ควร commit
🛠️ Scripts และ Utilities,run_fastapi_standalone.py,0.0,🟡 สำคัญ,✅ ควร commit
🛠️ Scripts และ Utilities,run_final_production.py,0.006,🟡 สำคัญ,✅ ควร commit
🛠️ Scripts และ Utilities,run_one_click.bat,0.0,🟢 ปานกลาง,🤔 ตรวจสอบเพิ่มเติม
🛠️ Scripts และ Utilities,run_one_click.sh,0.0,🟢 ปานกลาง,🤔 ตรวจสอบเพิ่มเติม
🛠️ Scripts และ Utilities,run_production_pipeline.py,0.011,🟡 สำคัญ,✅ ควร commit
🛠️ Scripts และ Utilities,run_simple_pipeline.py,0.013,🟡 สำคัญ,✅ ควร commit
🛠️ Scripts และ Utilities,run_ultimate_pipeline.bat,0.002,🟢 ปานกลาง,🤔 ตรวจสอบเพิ่มเติม
🛠️ Scripts และ Utilities,run_ultimate_pipeline.py,0.004,🟡 สำคัญ,✅ ควร commit
🛠️ Scripts และ Utilities,start-projectp-workspace.sh,0.0,🟢 ปานกลาง,🤔 ตรวจสอบเพิ่มเติม
🛠️ Scripts และ Utilities,start_production.sh,0.005,🟢 ปานกลาง,🤔 ตรวจสอบเพิ่มเติม
🛠️ Scripts และ Utilities,utils.py,0.005,🟡 สำคัญ,✅ ควร commit
🚀 ไฟล์ Deployment,ProjectP_production.py,0.007,🟡 สำคัญ,✅ ควร commit
🚀 ไฟล์ Deployment,cloud_deployment.py,0.034,🟡 สำคัญ,✅ ควร commit
🚀 ไฟล์ Deployment,monitor_production_status.py,0.007,🟡 สำคัญ,✅ ควร commit
🚀 ไฟล์ Deployment,production_monitor.py,0.015,🟡 สำคัญ,✅ ควร commit
🚀 ไฟล์ Deployment,production_pipeline_runner.py,0.012,🟡 สำคัญ,✅ ควร commit
🚀 ไฟล์ Deployment,view_production_results.py,0.008,🟡 สำคัญ,✅ ควร commit
📁 โฟลเดอร์,.github/,0.0,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
📁 โฟลเดอร์,.streamlit/,0.0,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
📁 โฟลเดอร์,.vscode/,0.0,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
📁 โฟลเดอร์,agent/,0.0,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
📁 โฟลเดอร์,config/,0.0,🟡 สำคัญ,🤔 ตรวจสอบเพิ่มเติม
📁 โฟลเดอร์,configs/,0.0,🟡 สำคัญ,🤔 ตรวจสอบเพิ่มเติม
📁 โฟลเดอร์,data/,0.0,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
📁 โฟลเดอร์,deployments/,0.0,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
📁 โฟลเดอร์,docs/,0.0,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
📁 โฟลเดอร์,experiments/,0.0,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
📁 โฟลเดอร์,fixes/,0.0,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
📁 โฟลเดอร์,k8s/,0.0,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
📁 โฟลเดอร์,monitoring/,0.0,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
📁 โฟลเดอร์,notebooks/,0.0,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
📁 โฟลเดอร์,production/,0.0,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
📁 โฟลเดอร์,projectp/,0.0,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
📁 โฟลเดอร์,protection_config/,0.0,🟡 สำคัญ,🤔 ตรวจสอบเพิ่มเติม
📁 โฟลเดอร์,reporting/,0.0,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
📁 โฟลเดอร์,reports/,0.0,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
📁 โฟลเดอร์,scripts/,0.0,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
📁 โฟลเดอร์,src/,0.0,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
📁 โฟลเดอร์,strategy/,0.0,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
📁 โฟลเดอร์,templates/,0.0,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
📁 โฟลเดอร์,tests/,0.0,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
📁 โฟลเดอร์,tracking/,0.0,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
📁 โฟลเดอร์,tuning/,0.0,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
🔍 ไฟล์อื่นๆ,.coveragerc,0.0,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
🔍 ไฟล์อื่นๆ,.flake8,0.0,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
🔍 ไฟล์อื่นๆ,.gitignore,0.001,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
🔍 ไฟล์อื่นๆ,=0.1.0,0.0,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
🔍 ไฟล์อื่นๆ,"=1.10,",0.0,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
🔍 ไฟล์อื่นๆ,=14.0.1,0.001,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
🔍 ไฟล์อื่นๆ,VERSION,0.0,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
🔍 ไฟล์อื่นๆ,code,23.442,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
🔍 ไฟล์อื่นๆ,git_file_analysis.ipynb,0.031,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
🔍 ไฟล์อื่นๆ,ml-training-workspace.code-workspace,0.001,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
🔍 ไฟล์อื่นๆ,projectp-workspace.code-workspace,0.001,⚪ ต่ำ,🤔 ตรวจสอบเพิ่มเติม
🔍 ไฟล์อื่นๆ,requirements-tracking.txt,0.001,🔴 สำคัญมาก,🤔 ตรวจสอบเพิ่มเติม
🔍 ไฟล์อื่นๆ,requirements.txt,0.002,🔴 สำคัญมาก,🤔 ตรวจสอบเพิ่มเติม
